POS,TEAM,MATCHES,POINTS,RATING
1,India,52,6290,121
2,Australia,38,4318,114
3,South Africa,32,3550,111
4,Pakistan,35,3874,111
5,New Zealand,41,4189,102
6,England,36,3509,97
7,Sri Lanka,46,4082,89
8,Bangladesh,43,3772,88
9,Afghanistan,28,2408,86
10,West Indies,38,2582,68
11,Zimbabwe,30,1641,55
12,Scotland,33,1662,50
13,Ireland,25,1083,43
14,Netherlands,35,1445,41
15,Nepal,42,1446,34
16,Namibia,28,813,29
17,United States,31,808,26
18,Oman,24,525,22
19,UAE,41,617,15
